Unnamed: 0,genre,lyrics,predicted_genre
253513,Hip-Hop,"State Property Music
uh, holla, uh...... yeah
[Chorus: Freeway]
When you hear the song (feel me)
Will you cry (uh it's all real baby)
Cause you know you wrong(you know you wrong)
Will you cryyyy (Holla) will you cry...
[Verse 1: Freeway]
Yo, say hello (sup)
To Mr. Ain't gon' be shit
Get a job, get your kids somethin' for Easter
Knowin' I just came home ain't got nothin to eat with
Bitch outta line -
Hoe been drove me outta my mind
She like, I shoulda knew before I lay down and slept with him (slept with him)
Now she wish that she could sleep with him (sleep with him)
Take a stroll with him
want to creep with him (with him)
Roll with him (with him)
And turn to a freak on him
Ain't have no patience with him when the ceilin leaked on him
Creeped on him
But I'm a boss baby you crossed the line
No orders go rock to hit all your girls
From the bed to the tub, bathtub to the ceilin
Killin' the world... holla!!
[Chorus: Freeway]
When you hear the song,
will you cry(make you won't cry, don't it)
Cause you know you wrong (it's all good baby, don't even worry about it)
Will you cryyyyy
When you hear the song (life goes on ya know)
will you cry (but I got some others issues the address but it ain't about you)
Cause you know you wrong (uhhh)
will you cryyyyy
[Verse 2: Freeway]
I ain't big but scrap you dead wrong
Ya'll coulda scrapped it out
He was never known for shootin' the toola packin' the chrome
He was known for shootin' the hoops up
Little hustle nigga grind (grind)
To get his jeans and boots up
At the summer league game D game rough
And the summer heat had ya'll niggaz feelin' like ya'll so damn tough
Wrong words, couple of shoves, park full of hoes
Had his hands all in your mug
How could you roll with pride in your way
You drove with your .38 to the place where he stay
Said, ?say hi to the pearly gates and scrolls.?
Now I pop beers reminisce with your bro
You can't make it to the show
And niggaz make it to the jail
Shed a tear
[Chorus: Freeway]
When you hear the song
Will you cry (it's fucked up man)
Cause you know you wrong(how you go out then you locked up)
Will you cryyyy (how you run around a lie)
When you hear the song (can you dig)
Will you cry
Cause you know your wrong (but I got one more person to address)
Will you cry (I ain't forget about you ol' girl, I remember)
[Verse 3: Freeway]
Oh look
Who could it be, Ms. Lee
You know this nigga ain't kiddin'
Think harder, Freeway L. Pridgen
Shit you used to tell me make me want to work harder
At gettin' crack spots sent me to prison
Said I'm never gonna be a thang
So I listened and skipped school
Had them thing distributed
Fuck class, on the block all day
My science was choppin', baggin', dividin', addin', the math
How my teacher gonna tell me I'm dumb
Had me feelin' like a sore thumb
Clown of the class (uh)
I got graded most hated with guns
But now I made it to the life
Couldn't make it to the class
If this nigga chew your ear
That's an oh for you to hear
Kiss my ass!
[Chorus: Freeway]
When you hear the song
Will you cry
Cause you know your wrong (you know you wrong)
Will you cryyyy
When you hear the song (feel me)
Will you cry
Cause you know you wrong (State Prop Chang Gang)
Will you cryyyy
[Outro: Freeway]
This is dedicated to all, all the motherfucker out there
You, you, and you mothefucker who did something wrong
All y'all niggaz out there what else y'all gon' do something
(the ignorants) or there is something wrong right now
You know you wrong (don't you cryyy)",Hip-Hop
218012,Country,"Well I really had a ball last night
I held all the pretty girls tight
I was feelin' single seein' double
I wound up in a whole lot of trouble
And today I'll face the big fight
But I really had a ball last night
When I came home from work this morning
My baby was feeling low
She told me what was on her mind
And she told me where I could go
I didn't go where she told me to
'Cause the water was cold in the lake
There's something fishy 'bout this whole deal
I don't know where I made my mistake
When I woke up this morning
Like me the sun was high
I started walking the long way home
Just to think of an alibi
I couldn't think of a single thing
That hadn't already been said
I might as well go out again
'Cause I'm already dead",Country
91614,Rock,"[lyrics:Stefan Ruiters]
solar child is burning my eyes
she's still burning my eyes
would you give it to me
all the love you have
child...would you give it to me
all I had inside I gave to you
I want you to give me the same",Indie
320535,Electronic,"La milonga.
Ladies and gentlemen
A man.
Milonga.
His music.
La milonga es.
He's ask tonight
He's here
Alfredo Zitarrosa.
Milonga
Milonga.
Ladies and gentlemen
Ladies and gentlemen.
La milonga es hija del candombe
Asi como el tango es hijo de la milonga.
He's ask tonight
He's here.
La milonga es hija del candombe
Asi como el tango es hijo de la milonga.
He's ask tonight
He's here
Alfredo Zitarrosa.
Ladies and gentlemen
Ladies and gentlemen.",Other
248213,Pop,"Anybody ever tell you that you're not whole
A hollow shell of man without a soul
Never ever felt your warmth cause you're always cold
Only thing that makes sense is letting go
Anybody ever tell you that you've got nerve
Treatin' my love like just another word
Tired of giving love to you that you don't deserve
So this is one way of saying it's over
Cause I got nothing left
I got nothing left
I got nothing left
I gave you my best
And you treated it worthless
So I got nothing left
Anybody ever tell you that you're gonna learn
Trust and respect are two things you must earn
When it came to lovin' me you just weren't concerned
You never gave a damn so I guess now it's my turn
Cause I got nothing left
I got nothing left
I got nothing left
I gave you my best
And you treated it worthless
So I got nothing left
So done with you
Maybe we're through
So done with you
Cause I got nothing left
I got nothing left
I got nothing left
I got nothing left
I got nothing left
I gave you my best
And you treated it worthless
So I got nothing left
So done with you
So done with you",Country
130989,Indie,"I give myself up every day
To fight this woe is me demeanor
If things had gone another way
Now would my grass be any greener?
And as I'm struggling on my own
I have to think I'm not alone
Give and take, we catch our breaks
We all learn to survive
Oh, but don't look now
I said don't look now
Cause here we are
Living the best days of our lives
These are the best days of our lives
I fly around the world to spend
My nights with strangers and their lovers
I notice happiness depends
On if we share it with each other
So when this craziness is through
I'll spend my happiness with you
Give and take, we catch our breaks
We all learn to survive
Oh, but don't look now
I said don't look now
Cause here we are
Living the best days of our lives
These are the best days of our lives
As we're walking through the fire
Isn't it great to be alive?
Give and take, we catch our breaks
We all learn to survive
Oh, but don't look now
I said don't look now
Cause here we are,
Living the best days of our lives
These are the best days of our lives
Everybody, let me hear you sing
It goes
Give and take, we catch our breaks
We all learn to survive
Oh, but don't look now
I said don't look now
Cause here we are
Living the best days of our lives
These are the best days of our lives",Pop
281194,Rock,"We were in a park and I could jump so far
Seems like all I'd ever done
Was smoking pot out in the car and this fear faded in
From the death of kids in my old school
He says, ""Ben, we both know you're asleep
I've been running through these fields
It's such a lovely place you dream, is it your imagination?
It's been years since I've been on my feet""
Now it's Rocky's day, send his soul on its way
The sun won't be coming out today
Now it's Rocky's day and this time he went away
The sun won't be coming out today
Now I recall but I don't know who told me
Rocky was a runner, won a medal back in school
Now at Christmas, momma says
""You go up with me to Rocky's room""
And as we watch the sun go down
He thanked me for my dreams he says
""I know you think you are but you're not completely free
The man who's seen the scepter of departure is completely free""
Now it's Rocky's day, send his soul on it's way
The sun won't be coming out today now it's Rocky's day
And this time he went away
The sun won't be coming out today
Then he smiled and he turned and walked away
He said over his shoulder, ""I'll be gone when you're awake""
Now it's Rocky's day, send his soul on it's way
The sun won't be coming out today
Now it's Rocky's day and this time he went away
The sun won't be coming out today",Indie
312266,Rock,"Guilty As A Saint
(Prophet/klipschutz)
I was just an altar boy
Until I lost my way
I signed up for the war
To see who I could save
Oh but baby, I'm back on the street
My face a little longer
My mind on repeat
Guilty as a saint
Darkness was my enemy
The dark was my friend
I was a connoisseur
With my own blend
One day the light fell on my face
I began to moan
Six billion people in the world
And I sleep alone
Guilty as a saint
Guilty as a senator
Guilty as a judge
I'm sorry I couldn't be
The man I never was
I wandered through the wind and rain
My head in my hands
I had nowhere to free my mind
Nowhere to even stand
Then I met an angel
Right here on the street
She couldn't play the harp at all
Or even keep a beat
Guilty as a saint...
Guilty as a saint",Indie
103107,Folk,"Once I had a darling mother though I can't recall her name
I had a baby brother who I'll never see again
For the Children's Home is sending us out on the Orphan Train
To try to find someone to take us in
Cho: Take us in, we have rode the Orphan Train
Take us in, we need a home, we need a name
Take us in, oh won't you be our kin?
We are looking for someone to take us in
I have stolen from the poorbox, I have begged the city streets
I've swabbed the bars and poolrooms for a little bite to eat
In my daddy's old green jacket and these rags upon my feet
I've looking for someone to take me in
The Children's Home, they gathered us, me and all the rest
They us to sit quietly until the food was blessed
Then they put us on the Orphan Train and sent us way out West
To try to find someone to take us in
The farmers and the families, they came from miles around
We lined up on the platform of the station in each town
And one by one we parted, like some living lost-and-found
And one by one, we all were taken in
Now there's many a fine doctor or a teacher in your school
There's many a good preacher who can teach the golden rule
Who started out an orphan sleeping in the freezing rain
Whose life began out on the Orphan Train.",Folk
116502,Rock,"I am a vision, I am justice
Never thought that I could love
Living in shadows, faded existence
It was never good enough
Within the darkness, you are the light
That shines away
You're trapped in violence, I can be the man
Who saves the day
I'm there for you, no matter what
I'm there for you, Never giving up
I'm there for you
For you
Someone has changed me, something saved me
Now this is who I am
Although I was blinded, my heart let me find that
Truth makes a better man
I didn't notice
When you were right in front of me
A mask of silence
We'll put away so we can see
I'm there for you, no matter what
I'm there for you, never giving up
I'm there for you
For you, for you
Within the darkness, you are the light
That shines away
In this blind justice, I can be the man
Who saves the day
I'm there for you, no matter what
I'm there for you, never giving up
You know it's true
You were there for me
And I'm there for you
For you, for you, for you",R&B
